,Unnamed: 0,Equipment,Own?,Quantity,Expected Lifetime,Current Lifetime Usage
0,0,Intra Oral Camera,True,1,4,2
1,1,Bleaching Unit,True,1,4,2
2,2,Ultrasonic Scaler,True,1,4,2
3,3,Light Cure,True,1,4,2
4,4,Dental Unit,True,1,4,2
5,5,Portable Xrays,True,1,4,2
6,6,Endomotor,True,1,4,2
7,7,Autoclaves,True,1,4,2
8,8,Ultrasonic Cleaner,True,1,4,2
9,9,Water Tank,True,1,4,2
10,10,Prophylaxis Hand Piece,True,1,4,2
11,11,Handpiece Set,True,1,4,2
12,12,Compressor,True,1,4,2
13,13,Apex Locator,True,1,4,2
14,14,Dental Loupe,True,1,4,2
15,15,Portable Light,True,1,4,2
16,16,Camera DSLR,True,1,4,2
17,17,Water Tank Hose,True,1,4,2
18,18,Sealing Machine,True,1,4,2
19,19,Xray Sensor,True,1,4,2
